Bin,Property,Count,Mean,Median,Std,Min,Max,Q25,Q75
CID_10000_100000,NumCl,100,0.34,0.0,0.6391281940932108,0.0,3.0,0.0,1.0
CID_10000_100000,ChiralCenters,100,0.86,0.0,2.0301763868236087,0.0,13.0,0.0,1.0
CID_10000_100000,QED,100,0.5629683933933706,0.5890043650370124,0.19561171008986167,0.08196638519744887,0.878298110039985,0.47082051972527084,0.7009126302693485
CID_100000_500000,MW,100,340.01811764176887,312.661595410045,144.41623676690543,87.09167477208999,988.2771629760001,246.352734237,404.91545890309
CID_100000_500000,RotBonds,100,4.74,4.0,3.8471293246268763,0.0,24.0,2.0,6.0
CID_100000_500000,TPSA,100,76.63589999999999,67.97,50.067758433300696,0.0,257.02,39.6125,101.435
CID_100000_500000,HAcceptors,100,4.38,4.0,2.6771762600308433,0.0,13.0,2.0,6.0
CID_100000_500000,HDonors,100,1.56,1.0,1.6716289762813505,0.0,8.0,0.0,2.0
CID_100000_500000,cLogP,100,2.2616636000000017,2.4234500000000008,2.4508828999624455,-4.183799999999995,8.584000000000005,0.987375,3.6567000000000025
CID_100000_500000,AromaticRings,100,1.75,2.0,1.4025589888385148,0.0,7.0,1.0,2.25
CID_100000_500000,TotalRings,100,2.76,3.0,1.6824705259549328,0.0,11.0,2.0,4.0
CID_100000_500000,Heterocycles,100,1.03,1.0,0.915136463853751,0.0,3.0,0.0,2.0
CID_100000_500000,NumF,100,0.15,0.0,0.5751591786697675,0.0,3.0,0.0,0.0
CID_100000_500000,NumCl,100,0.27,0.0,0.7227193316379684,0.0,4.0,0.0,0.0
CID_100000_500000,ChiralCenters,100,1.57,1.0,2.471064874939874,0.0,15.0,0.0,2.0
CID_100000_500000,QED,100,0.5381584363802844,0.5495857339883119,0.21019904857506982,0.06521005534147808,0.9028047169161801,0.3697378560483939,0.7053162844147799
CID_500000_1000000,MW,100,306.7616532338861,304.584071580045,69.46284373167018,119.984527504,489.20672158809,265.5740821700675,339.3550225880675
CID_500000_1000000,RotBonds,100,3.76,3.0,2.301163517734786,0.0,13.0,2.0,5.0
CID_500000_1000000,TPSA,100,60.41479999999999,59.615,25.53979079986776,0.0,127.12000000000002,43.0025,75.98750000000001
CID_500000_1000000,HAcceptors,100,3.73,4.0,1.8304660774256547,0.0,10.0,2.0,5.0
CID_500000_1000000,HDonors,100,1.04,1.0,0.8030245854570617,0.0,3.0,0.0,2.0
CID_500000_1000000,cLogP,100,2.4512324000000008,2.50776,1.4466794268974474,-1.2075999999999991,8.206600000000005,1.5687749999999996,3.4814000000000016
CID_500000_1000000,AromaticRings,100,1.91,2.0,1.045384275196582,0.0,4.0,1.0,3.0
CID_500000_1000000,TotalRings,100,2.65,3.0,1.2257753678897507,0.0,7.0,2.0,3.0
CID_500000_1000000,Heterocycles,100,1.15,1.0,0.9468181696950295,0.0,4.0,0.0,2.0
CID_500000_1000000,NumF,100,0.46,0.0,1.3059305285713125,0.0,7.0,0.0,0.0
CID_500000_1000000,NumCl,100,0.16,0.0,0.48658778937379565,0.0,3.0,0.0,0.0
CID_500000_1000000,ChiralCenters,100,0.63,0.0,0.9603766096293854,0.0,5.0,0.0,1.0
CID_500000_1000000,QED,100,0.6724328685639535,0.687538201449784,0.16754720071028667,0.1710915850085259,0.9390747797230451,0.560001036186486,0.8191274874876725
CID_1000000_5000000,MW,100,404.67141221574406,393.12279023204496,92.19016027661782,193.07939583609,690.147782192,343.5313172360225,450.35947235209005
CID_1000000_5000000,RotBonds,100,5.41,5.0,2.243261514452165,0.0,12.0,4.0,7.0
CID_1000000_5000000,TPSA,100,75.07960000000001,69.125,28.43675772195863,16.8,143.06,55.662499999999994,93.785
CID_1000000_5000000,HAcceptors,100,4.78,5.0,1.9877402021167438,1.0,12.0,3.0,6.0
CID_1000000_5000000,HDonors,100,1.23,1.0,0.8628704737939841,0.0,3.0,1.0,2.0
CID_1000000_5000000,cLogP,100,3.257698400000002,3.144160000000001,1.6378008627756087,-1.217699999999996,8.511600000000003,2.2209749999999997,4.213960000000004
CID_1000000_5000000,AromaticRings,100,2.58,2.5,1.147504978972935,0.0,6.0,2.0,3.0
CID_1000000_5000000,TotalRings,100,3.32,3.0,1.213393271912793,1.0,7.0,2.75,4.0
